Ad ID ,Category ,Locations ,Posted ,Brand,Model,Year,Tax Type,Condition,Color,Link,Title,Price
9575183,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Click,2016,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/honda-click-2016-adid-9575183.html,Honda click 2016,"$1,120"
9575180,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,PCX,2021,Plate Number,Used,Gray,https://www.khmer24.com/en/motorcycles/sell-honda-pcx-2021-%E1%9E%98%E1%9E%8F%E1%9E%80%E1%9E%9A%E1%9E%98%E1%9E%A0%E1%9E%93-adid-9575180.html,Sell Honda PCX 2021 ម៉ូតូក្រុមហ៊ុន,"$3,030"
9487655,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Today,2020,Plate Number,Used,Green,https://www.khmer24.com/en/motorcycles/honda-today-have-card-%E1%9E%80%E1%9E%8F%E1%9E%82%E1%9E%9A-adid-9487655.html,Honda Today Have Card កាតគ្រី,$290
9556051,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Today,2020,Plate Number,Used,Blue,https://www.khmer24.com/en/motorcycles/honda-today-have-card-%E1%9E%80%E1%9E%8F%E1%9E%82%E1%9E%9A-adid-9556051.html,Honda Today Have Card កាតគ្រី,$310
9356331,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Other - ផ្សេងៗ,2020,Plate Number,Used,Blue,https://www.khmer24.com/en/motorcycles/honda-dio-af-28-2t-have-card-%E1%9E%80%E1%9E%8F%E1%9E%82%E1%9E%9A-adid-9356331.html,Honda Dio af 28 2t Have Card កាតគ្រី,$670
9575175,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Scoopy i,2015,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/honda-scoopy-2015-adid-9575175.html,Honda scoopy 2015,$970
9575171,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Beat,2019,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/honda-beat2019-adid-9575171.html,Honda beat2019,"$1,300"
9575160,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Scoopy i,2005,Plate Number,Used,Red,https://www.khmer24.com/en/motorcycles/mini-scoopy-%E1%9E%9F%E1%9E%A2%E1%9E%8F-%E1%9E%9F%E1%9E%91%E1%9E%9F%E1%9E%A0%E1%9E%9C-adid-9575160.html,Mini Scoopy ស្អាត ស្ទុះសាហាវ,$250
9463010,Motorcycles for Sale,Siem Reap,16-Jun-23,Honda,Beat,2021,Plate Number,Used,Black,https://www.khmer24.com/en/motorcycles/honda-beat-2021-%E1%9E%98%E1%9E%99%E1%9E%91%E1%9E%80-adid-9463010.html,Honda beat 2021 មួយទឹក,"$1,480"
9131256,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,CBR,2011,Plate Number,Used,Blue,https://www.khmer24.com/en/motorcycles/cbr250cc-%E1%9E%87%E1%9E%94%E1%9E%93%E1%9E%9F%E1%9E%91%E1%9E%92-%E1%9E%9F%E1%9E%A2%E1%9E%8F%E1%9E%9F%E1%9E%8Ezin-adid-9131256.html,CBR250cc ជប៉ុនសុទ្ធ ស្អាតសំុណំុZin,"$1,580"
9575142,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,CB,2019,Plate Number,Used,Red,https://www.khmer24.com/en/motorcycles/honda-cb-250-2019-99-%E1%9E%87%E1%9E%94%E1%9E%93%E1%9E%9F%E1%9E%91%E1%9E%92-adid-9575142.html,Honda CB 250 2019 99% ជប៉ុនសុទ្ធ,"$3,450"
8996996,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Other - ផ្សេងៗ,2016,Tax Paper,Used,Other,https://www.khmer24.com/en/motorcycles/honda-giorno-pink-50cc-tax-paper-from-japan-adid-8996996.html,Honda Giorno pink 50cc tax paper from Japan,"$1,450"
9571259,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,XR,2007,Plate Number,Used,Red,https://www.khmer24.com/en/motorcycles/honda-xr-2007-%E1%9E%9F%E1%9E%93%E1%9E%9F%E1%9E%93-adid-9571259.html,Honda XR 2007 សុីនសានុំ,"$4,200"
9327086,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,CB,2018,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/cb-150-adid-9327086.html,CB 150.,"$1,950"
9575121,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Air Blade,2015,Plate Number,Used,Black,https://www.khmer24.com/en/motorcycles/air-black-015-%E1%9E%94%E1%9E%9A%E1%9E%94%E1%9E%85-adid-9575121.html,air black 015 ប្រើប៊ិច,$320
9575118,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Click,2021,Plate Number,Used,Black,https://www.khmer24.com/en/motorcycles/%E1%9E%9B%E1%9E%80click150i-2021-%E1%9E%81%E1%9E%98-adid-9575118.html,លក់Click150i 2021​ ​ខ្មៅ,"$2,190"
9575115,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Click,2020,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/honda-click-2020-adid-9575115.html,Honda click 2020,"$1,780"
8965565,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Click,2017,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/%E1%9E%98%E1%9E%8Fclick%E1%9E%86%E1%9E%932017-adid-8965565.html,ម៉ួតូclickឆ្នាំ2017,"$1,250"
9575102,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Scoopy i,2019,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/honda-scoopy-2019-adid-9575102.html,Honda scoopy 2019,"$1,560"
9468236,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,XR,2008,Plate Number,Used,Black,https://www.khmer24.com/en/motorcycles/2008-xr400-motard-adid-9468236.html,2008 XR400 Motard,"$3,400"
9450104,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Dream,2016,Plate Number,Used,Blue,https://www.khmer24.com/en/motorcycles/%E1%9E%9F%E1%9E%84016-adid-9450104.html,សង់016,"$1,280"
9116071,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,ADV,2021,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/honda-adv-2021-adid-9116071.html,Honda ADV 2021,"$3,700"
8780549,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Scoopy i,2023,Tax Paper,New,White,https://www.khmer24.com/en/motorcycles/honda-scoopy-2023-%E1%9E%90%E1%9E%98%E1%9E%80-adid-8780549.html,Honda Scoopy 2023 ថ្មីកេះ,"$2,650"
8877133,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,Dream,2023,Plate Number,Used,Red,https://www.khmer24.com/en/motorcycles/honda-dream-2023-adid-8877133.html,honda dream 2023,"$1,930"
9230337,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,CBR,2016,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/honda-cbr-250-abs-2016-99-adid-9230337.html,Honda cBR 250 ABS 2016 99%,"$2,150"
9494401,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,CB,2008,Plate Number,Used,Black,https://www.khmer24.com/en/motorcycles/honda-cb-223-95-adid-9494401.html,Honda CB 223 95%,"$2,450"
9431167,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,XR,2010,Tax Paper,Used,Yellow,https://www.khmer24.com/en/motorcycles/honda-xr-230-2010-99-00km-adid-9431167.html,Honda XR 230 2010 99 00km,"$4,850"
9341606,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,XR,2008,Tax Paper,Used,Black,https://www.khmer24.com/en/motorcycles/honda-xr230-2008-99-%E1%9E%81%E1%9E%85-adid-9341606.html,Honda XR230 2008 99% ខ្ចី,"$4,650"
9554694,Motorcycles for Sale,Siem Reap,16-Jun-23,Honda,Click,2020,Plate Number,Used,Black,https://www.khmer24.com/en/motorcycles/honda-click-125cc-020-adid-9554694.html,Honda Click 125cc 020,"$1,755"
9554694,Motorcycles for Sale,Siem Reap,16-Jun-23,Honda,Click,2020,Plate Number,Used,Black,https://www.khmer24.com/en/motorcycles/honda-click-125cc-020-adid-9554694.html,Honda Click 125cc 020,"$1,755"
9079380,Motorcycles for Sale,Siem Reap,16-Jun-23,Honda,Beat,2021,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/honda-beat-021%E1%9E%94%E1%9E%84%E1%9E%9A%E1%9E%9B%E1%9E%9F%E1%9E%80%E1%9E%94%E1%9E%93-adid-9079380.html,Honda Beat 021បង់រំលស់ក៏បាន,"$1,620"
9307654,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,XR,1995,Tax Paper,Used,White,https://www.khmer24.com/en/motorcycles/honda-xr-baja-95-adid-9307654.html,Honda XR Baja 95%,"$3,200"
9308605,Motorcycles for Sale,Siem Reap,16-Jun-23,Honda,Click,2020,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/honda-click-150cc-020%E1%9E%94%E1%9E%84%E1%9E%9A%E1%9E%9B%E1%9E%9F%E1%9E%94%E1%9E%93%E1%9E%97%E1%9E%9B%E1%9E%98%E1%9F%97-adid-9308605.html,Honda Click 150cc 020បង់រំលស់បានភ្លាមៗ,"$2,042.50"
9434523,Motorcycles for Sale,Siem Reap,16-Jun-23,Honda,SL,2005,Plate Number,Used,White,https://www.khmer24.com/en/motorcycles/honda-sl-05%E1%9E%94%E1%9E%84%E1%9E%9A%E1%9E%9B%E1%9E%9F%E1%9E%94%E1%9E%93%E1%9E%97%E1%9E%9B%E1%9E%98%E1%9F%97-adid-9434523.html,HONDA SL 05បង់រំលស់បានភ្លាមៗ,"$1,665"
9326233,Motorcycles for Sale,Siem Reap,16-Jun-23,Honda,Scoopy i,2021,Plate Number,Used,Red,https://www.khmer24.com/en/motorcycles/honda-scoopy-021-%E1%9E%8A%E1%9E%9A%E1%9E%9A%E1%9E%84-adid-9326233.html,Honda scoopy 021 ដូររាង,"$1,962"
9029568,Motorcycles for Sale,Siem Reap,16-Jun-23,Honda,CBR,2015,Plate Number,Used,Black,https://www.khmer24.com/en/motorcycles/honda-cbr-150cc-%E1%9E%94%E1%9E%84%E1%9E%9A%E1%9E%9B%E1%9E%9F%E1%9E%94%E1%9E%93-adid-9029568.html,Honda CBR 150cc បង់រំលស់បាន,"$1,572.50"
9018187,Motorcycles for Sale,Siem Reap,16-Jun-23,Honda,XR,2005,Plate Number,Used,Gray,https://www.khmer24.com/en/motorcycles/honda-baja-05-%E1%9E%9B%E1%9E%80%E1%9E%92%E1%9E%9A%E1%9E%90%E1%9E%9B-adid-9018187.html,Honda Baja 05 លក់ធូរថ្លៃ,"$2,565"
9029614,Motorcycles for Sale,Siem Reap,16-Jun-23,Honda,CBR,2015,Plate Number,Used,Blue,https://www.khmer24.com/en/motorcycles/honda-cbr-250cc%E1%9E%94%E1%9E%84%E1%9E%9A%E1%9E%9B%E1%9E%9F%E1%9E%94%E1%9E%93-adid-9029614.html,Honda CBR 250ccបង់រំលស់បាន,"$1,800"
9028555,Motorcycles for Sale,Siem Reap,16-Jun-23,Honda,XR,2007,Plate Number,Used,Black,https://www.khmer24.com/en/motorcycles/honda-xr-230-07%E1%9E%94%E1%9E%84%E1%9E%9A%E1%9E%9B%E1%9E%9F%E1%9E%94%E1%9E%93-adid-9028555.html,Honda XR 230 07បង់រំលស់បាន,"$2,850"
9506189,Motorcycles for Sale,Phnom Penh,16-Jun-23,Honda,CB,2022,Plate Number,Used,Black,https://www.khmer24.com/en/motorcycles/cb1000r2022black-edition-adid-9506189.html,cb1000r+，2022，Black Edition,"$9,000"
